position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
38,kirki,10730842784077,Kirki Τοπ,0.98,Average,no,2669
39,nora,10758769738061,Nora Τοπ,0.90,Average,no,2002
40,solea,10740788068685,Solea Φούστα,0.76,Average,no,1956
41,meria-dress,10563092447565,Meria Φόρεμα,0.73,Average,no,3030
42,margie-dress,10566101827917,Margie Φόρεμα,0.72,Average,no,2780
43,stella-kimono,10564824432973,Stella Κιμονό,0.69,Average,no,2495
44,eve-jumpsuit,10566210683213,Eve Ολόσωμη φόρμα,0.68,Average,no,2843
45,liberty-dress,10566102974797,Liberty Φόρεμα,0.66,Average,no,2042
46,gaia-jumpsuit,10563135537485,Gaia Ολόσωμη φόρμα,0.66,Average,no,2809
47,livia-dress,10563406201165,Livia Φόρεμα,0.64,Average,no,2632
48,zale-dress,10563130229069,Zale Φόρεμα,0.62,Average,no,2833
49,isabella,10710401483085,Isabella Φούστα,0.61,Average,no,2235
50,viora,10636342690125,Viora Φόρεμα,0.58,Average,no,2091
51,solea-1,10740803436877,Solea Τοπ,0.57,Average,no,1372
52,myrtle-dress-1,10563103392077,Myrtle Φόρεμα,0.56,Average,no,2200
53,elyra-pants,10563246784845,Elyra Παντελόνα,0.56,Average,no,2146
54,sienna-copy,10697387508045,Patricia Τοπ,0.55,Average,no,2028
55,aria-skirt-1,10563312714061,Aria Skirt,0.54,Average,no,2041
56,shona-pants,10564789961037,Shona Παντελόνα,0.54,Average,no,2403
57,ismini-1,10745646252365,Ismini Φούστα,0.53,Average,no,1349
58,rinna,10657650803021,Rinna Φόρεμα,0.52,Average,no,1970
59,elyra-top,10563231154509,Elyra Τοπ,0.50,Average,no,1849
60,lyla-skirt,10563307635021,Lyla Skirt,0.49,Low,no,1538
61,hilda-dress-champagne,10564841374029,Hilda Φόρεμα σαμπανιζέ,0.48,Low,no,1744
62,moss-dress-1,10563105227085,Moss Φόρεμα,0.47,Low,no,1769
63,hilda-dress-dusty-pink,10566100255053,Hilda Dusty Φόρεμα ροζ,0.45,Low,no,1785
64,debbie-pants,10564787011917,Debbie Παντελόνα,0.43,Low,no,1455
65,lyla-top,10563222045005,Lyla Τοπ,0.43,Low,no,1281
66,indira-skirt,10563304816973,Indira Skirt,0.41,Low,no,1345
67,irida-top,10730927784269,Irida Τοπ,0.41,Low,no,609
68,isabellatop,10710406005069,Isabella Τοπ,0.40,Low,no,1220
69,ione,10657672266061,Ione Τοπ,0.38,Low,no,940
70,aria-top-1,10563232760141,Aria Τοπ,0.34,Low,no,1141
71,elyra-body,10563024912717,Elyra Κορμάκι,0.32,Low,no,1066
72,zaria-top,10563046768973,Zaria Τοπ,0.29,Low,no,845
73,livia-skirt,10563055878477,Livia Skirt,0.28,Low,no,1034
74,shona-shirt,10564578804045,Shona Πουκάμισο,0.27,Low,no,1224
75,meline-copy,10644362002765,Lavelle  Φόρεμα,0.24,Low,no,890
76,glinda-skirt,10566351814989,Glinda Skirt,0.24,Low,no,793
77,mae-top,10564537778509,Mae Τοπ,0.18,Low,no,433
78,livia-top,10563040510285,Livia Τοπ,0.18,Low,no,594
79,stella-top,10563234267469,Stella Τοπ,0.18,Low,no,652
80,shona-skirt,10564766138701,Shona Skirt,0.14,Low,no,668
81,copy-copy-69,10633886466381,Linea Φόρεμα,0.12,Low,no,524
82,copy-copy-71,10633887056205,Aluna Φόρεμα,0.09,Low,no,200
83,thalea,10633917563213,Thalea Φόρεμα,0.08,Low,no,185
84,ismera,10633929261389,Ismera Φόρεμα,0.08,Low,no,409
85,copy-copy-77,10633966977357,Isenor Φόρεμα,0.04,Low,no,83
86,stella,10718851137869,Domna Τοπ,4.76,Hero,yes,21290
87,hilary-dress,10566159991117,Hilary Φόρεμα,3.91,Hero,yes,14803
88,dioni,10730727440717,Dioni Φόρεμα,3.63,Hero,yes,10720
89,evelisse-limited,10652612165965,Evelisse LIMITED Φόρεμα,3.44,Hero,yes,11724
90,ariel-siren-dress-blue,10559049138509,Ariel Siren Φόρεμα γαλάζιο,3.16,Hero,yes,12733
91,marisa,10671661482317,Marisa Φόρεμα,2.91,Strong,yes,10471
92,velora,10634112041293,Velora Φόρεμα,2.86,Strong,yes,8155
93,dalia-dress,10728598831437,Dalia Φόρεμα,2.69,Strong,yes,11225
94,copy-copy-75,10633925165389,Delya Φόρεμα,2.46,Strong,yes,10252
95,helia-dress,10563090907469,Helia Φόρεμα,2.42,Strong,yes,9780
96,scorpios-limited,10731628429645,Scorpios LIMITED,2.39,Strong,yes,7897
97,coco,10730619339085,Coco Τοπ,2.28,Strong,yes,6010
98,soraya,10643352158541,Soraya Φόρεμα,2.28,Strong,yes,7652
99,empress-top,10073195905357,Empress Top,2.20,Strong,yes,6484
100,lumira,10633956557133,Lumira Φόρεμα,2.11,Strong,yes,9159
101,perla,10730988405069,Perla Φόρεμα,1.93,Strong,yes,5688
102,elise,10664056750413,Elise Φόρεμα,1.87,Strong,yes,7589
103,phoebe-dress,10564863885645,Phoebe Φόρεμα,1.86,Strong,yes,7952
104,asteria-dress,10563094708557,Asteria Φόρεμα,1.83,Strong,yes,6985
105,lydia,10714458063181,Lydia Κιμονό,1.80,Strong,yes,8163
106,solenne,10644069187917,Solenne Φόρεμα,1.69,Strong,yes,7771
107,empress-skirt,10074122977613,Empress Skirt,1.67,Strong,yes,5499
108,thalina-dress-1,10559114215757,Thalina Φόρεμα,1.65,Strong,yes,4040
109,electra-dress,10584479564109,Electra Φόρεμα,1.60,Strong,yes,6501
110,astor-kimono,10566045172045,Astor Kimono,1.60,Strong,yes,6537
111,capri-1,10731572789581,Capri Τοπ,1.57,Strong,yes,5528
112,rayne-dress,10564896391501,Rayne Φόρεμα,1.51,Strong,yes,6940
113,calyra-dress,10563075998029,Calyra Φόρεμα,1.50,Strong,yes,5681
114,orlaya-1,10641885364557,Orlaya Φούστα,1.41,Average,yes,5181
115,thalassa-limited,10657844953421,Thalassa LIMITED Φόρεμα,1.38,Average,yes,5539
116,lea-dress,10566090916173,Lea Φόρεμα,1.37,Average,yes,4199
117,melina,10714445873485,Melina Κιμονό,1.37,Average,yes,5012
118,norah-kimono,10566086492493,Norah Κιμονό,1.33,Average,yes,5492
119,coralia-dress,10566166413645,Coralia Φόρεμα,1.32,Average,yes,5274
120,copy-2,10588786295117,Linus Φόρεμα,1.26,Average,yes,6068
121,glowen-dress,10564884070733,Glowen Φόρεμα,1.23,Average,yes,4810
122,copy-copy-78,10633971007821,Thalior Φόρεμα,1.22,Average,yes,5291
123,calypso-skirt-pink,10559200788813,Calypso Skirt Pink,1.21,Average,yes,4291
124,melin-dress,10566165102925,Melin Φόρεμα,1.15,Average,yes,4266
125,thalassa-dress,10563128525133,Thalassa Φόρεμα,1.10,Average,yes,3268
126,capri,10731571183949,Capri Φούστα,1.09,Average,yes,3479
127,lilu-jumpsuit,10566207308109,Lilu Ολόσωμη φόρμα,1.09,Average,yes,4533
128,argenta-cape,10563227615565,Argenta Κάπα,1.08,Average,yes,4111
129,nerissa-kimono-blue,10559203049805,Nerissa Κιμονό μπλε,1.07,Average,yes,3085
130,ariel-siren-limited,10571427971405,Ariel Siren LIMITED Φόρεμα,1.06,Average,yes,3470
131,kirki-skirt,10730866344269,Kirki Φούστα,1.04,Average,yes,3698
132,argenta-kimono,10563359539533,Argenta Κιμονό,1.02,Average,yes,3102
133,aria-kimono,10564825186637,Aria Κιμονό,1.02,Average,yes,4029
134,nai-dress,10563110994253,Nai Φόρεμα,1.01,Average,yes,4669
135,nola-jumpsuit,10566211600717,Nola Ολόσωμη φόρμα,1.00,Average,yes,4818
136,elyra-dress,10563404235085,Elyra Φόρεμα,1.00,Average,yes,3912
