position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
36,livia-skirt,10563055878477,Livia Skirt,0.25,Low,no,1034
37,livia-top,10563040510285,Livia Τοπ,0.16,Low,no,594
38,evelisse-limited,10652612165965,Evelisse LIMITED Φόρεμα,3.13,Hero,yes,11724
39,marisa,10671661482317,Marisa Φόρεμα,2.63,Strong,yes,10471
40,helia-dress,10563090907469,Helia Φόρεμα,2.07,Strong,yes,9780
41,soraya,10643352158541,Soraya Φόρεμα,2.04,Strong,yes,7652
42,elise,10664056750413,Elise Φόρεμα,1.65,Strong,yes,7589
43,asteria-dress,10563094708557,Asteria Φόρεμα,1.62,Strong,yes,6985
44,phoebe-dress,10564863885645,Phoebe Φόρεμα,1.60,Strong,yes,7952
45,lydia,10714458063181,Lydia Κιμονό,1.58,Strong,yes,8163
46,solenne,10644069187917,Solenne Φόρεμα,1.47,Average,yes,7771
47,electra-dress,10584479564109,Electra Φόρεμα,1.42,Average,yes,6501
48,astor-kimono,10566045172045,Astor Kimono,1.37,Average,yes,6537
49,rayne-dress,10564896391501,Rayne Φόρεμα,1.31,Average,yes,6940
50,calyra-dress,10563075998029,Calyra Φόρεμα,1.30,Average,yes,5681
51,melina,10714445873485,Melina Κιμονό,1.23,Average,yes,5012
52,thalassa-limited,10657844953421,Thalassa LIMITED Φόρεμα,1.21,Average,yes,5539
53,coralia-dress,10566166413645,Coralia Φόρεμα,1.18,Average,yes,5274
54,copy-2,10588786295117,Linus Φόρεμα,1.12,Average,yes,6068
55,glowen-dress,10564884070733,Glowen Φόρεμα,1.07,Average,yes,4810
56,melin-dress,10566165102925,Melin Φόρεμα,0.99,Average,yes,4266
57,thalassa-dress,10563128525133,Thalassa Φόρεμα,0.95,Average,yes,3268
58,argenta-cape,10563227615565,Argenta Κάπα,0.93,Average,yes,4111
59,lilu-jumpsuit,10566207308109,Lilu Ολόσωμη φόρμα,0.93,Average,yes,4533
60,ariel-siren-limited,10571427971405,Ariel Siren LIMITED Φόρεμα,0.91,Average,yes,3470
61,argenta-kimono,10563359539533,Argenta Κιμονό,0.88,Average,yes,3102
62,elyra-dress,10563404235085,Elyra Φόρεμα,0.88,Average,yes,3912
63,aria-kimono,10564825186637,Aria Κιμονό,0.87,Average,yes,4029
64,nai-dress,10563110994253,Nai Φόρεμα,0.86,Average,yes,4669
65,nola-jumpsuit,10566211600717,Nola Ολόσωμη φόρμα,0.86,Average,yes,4818
66,argenta-jumpsuit,10563172696397,Argenta Ολόσωμη φόρμα,0.85,Average,yes,3840
67,neta-top,10566385434957,Neta Τοπ,0.85,Average,yes,3741
68,aegea-dress,10563131900237,Aegea Φόρεμα,0.84,Average,yes,4231
69,aster-kimono,10559208358221,Aster Κιμονό,0.77,Average,yes,3754
70,cloe-dress,10566161531213,Cloe Φόρεμα,0.77,Average,yes,3186
71,thalia-dress,10563095920973,Thalia Φόρεμα,0.76,Average,yes,3106
72,elyra-cape,10563208315213,Elyra Κάπα,0.72,Average,yes,3260
73,oceane-jumpsuit,10563149726029,Oceane Ολόσωμη φόρμα,0.71,Average,yes,3272
74,monique-kimono,10566047891789,Monique Κιμονό,0.71,Average,yes,3169
75,kathy-dress,10566165856589,Kathy Φόρεμα,0.71,Average,yes,3403
76,patricia,10697411199309,Patricia Φόρεμα,0.70,Average,yes,3495
77,dore-dress,10564872208717,Dore Φόρεμα,0.63,Average,yes,3082
78,menda-dress,10566167626061,Menda Φόρεμα,0.62,Average,yes,3291
79,zaria-jumpsuit,10563145236813,Zaria Ολόσωμη φόρμα,0.61,Average,yes,2725
80,midas-dress,10566098714957,Midas Φόρεμα,0.48,Low,yes,2333
81,byron-dress,10566130303309,Byron Φόρεμα,0.48,Low,yes,2682
82,livia-jumpsuit,10563137044813,Livia Ολόσωμη φόρμα,0.45,Low,yes,2017
83,sonia-dress,10564952752461,Sonia Φόρεμα,0.44,Low,yes,2508
84,rayne-pants,10564908613965,Rayne Παντελόνα,0.43,Low,yes,2358
85,myriam-dress,10566163464525,Myriam Φόρεμα,0.42,Low,yes,2321
86,indira-top,10563199992141,Indira Τοπ,0.42,Low,yes,1918
