position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
108,sonia-dress,10564952752461,Sonia Φόρεμα,0.50,Average,yes,2508
109,livia-jumpsuit,10563137044813,Livia Ολόσωμη φόρμα,0.50,Average,yes,2017
110,eirys-skirt,10563065413965,Eirys Skirt,0.50,Average,yes,2016
111,rayne-pants,10564908613965,Rayne Παντελόνα,0.49,Low,yes,2358
112,sylla-dress,10566150095181,Sylla Φόρεμα,0.48,Low,yes,2003
113,krista-dress,10566185877837,Krista Φόρεμα,0.48,Low,yes,1672
114,myriam-dress,10566163464525,Myriam Φόρεμα,0.47,Low,yes,2321
115,indira-top,10563199992141,Indira Τοπ,0.47,Low,yes,1918
116,nai-limited-dress,10571365515597,Nai LIMITED Φόρεμα,0.45,Low,yes,1841
117,zoe-kimono,10564757815629,Zoe Κιμονό,0.42,Low,yes,1751
118,phoebe-limited-edition,10571285266765,Phoebe LIMITED Edition Φόρεμα,0.41,Low,yes,1773
119,calypso-pants,10559196856653,Calypso Παντελόνα,0.39,Low,yes,1288
120,zaria-skirt,10563065872717,Zaria Skirt,0.39,Low,yes,1598
121,indy-top,10563435102541,Indy Τοπ,0.37,Low,yes,1665
122,myra-skirt,10563057189197,Myra Skirt,0.36,Low,yes,1257
123,myrielle,10657829552461,Myrielle Φόρεμα,0.35,Low,yes,1761
124,ophelia-skirt,10563290530125,Ophelia Skirt,0.35,Low,yes,926
125,zoe-cape,10563437789517,Zoe Κάπα,0.34,Low,yes,1297
126,zelda-dress,10564934369613,Zelda Φόρεμα,0.33,Low,yes,1415
127,livia-kimono,10564754964813,Livia Κιμονό,0.32,Low,yes,1062
128,parker-dress,10566126928205,Parker Φόρεμα,0.31,Low,yes,1493
129,calypso-top-blue,10559164318029,Calypso Τοπ γαλάζιο,0.30,Low,yes,959
130,calypso-shirt-pink,10559193186637,Calypso Πουκάμισο ροζ,0.28,Low,yes,859
131,zelda-kimono,10566049726797,Zelda Κιμονό,0.26,Low,yes,1059
132,arla-top,10566363447629,Arla Τοπ,0.26,Low,yes,1033
133,ophelia-top,10563189473613,Ophelia Τοπ,0.25,Low,yes,862
134,lyla-kimono,10564749328717,Lyla Κιμονό,0.25,Low,yes,1032
135,stella-skirt,10563313762637,Stella Skirt,0.23,Low,yes,1092
136,argenta-dress,10564890132813,Argenta Φόρεμα,0.23,Low,yes,820
137,melissa-top,10566027510093,Melissa Τοπ,0.23,Low,yes,859
138,myra-top-1,10563042214221,Myra Τοπ,0.22,Low,yes,584
139,indira-kimono,10563362685261,Indira Κιμονό,0.22,Low,yes,969
140,rhia-top,10563437035853,Rhia Τοπ,0.20,Low,yes,963
141,opal-top,10563436282189,Opal Τοπ,0.19,Low,yes,890
142,debbie-shirt,10564590010701,Debbie Πουκάμισο,0.18,Low,yes,545
143,elma-pants,10566039175501,Elma Παντελόνα,0.17,Low,yes,585
144,sienna-top,10566393954637,Sienna Τοπ,0.16,Low,yes,783
145,shona-top,10564592664909,Shona Τοπ,0.16,Low,yes,467
146,sundra-top,10566352666957,Sundra Τοπ,0.15,Low,yes,554
147,selma-dress,10566095241549,Selma Φόρεμα,0.12,Low,yes,601
148,nyx-skirt,10563049128269,Nyx Skirt,0.12,Low,yes,622
149,s26-1008,10563044606285,Eirys Τοπ,0.11,Low,yes,380
150,matilda-dress,10566105825613,Matilda Φόρεμα,0.09,Low,yes,459
151,nyx-top,10563029533005,Nyx Τοπ,0.08,Low,yes,273
152,ines-shirt,10564583817549,Ines Πουκάμισο,0.07,Low,yes,307
153,ines-pants-1,10564803887437,Ines Παντελόνα,0.06,Low,yes,308
