collection_handle,collection_id,collection_title,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d,position
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,amarise-dress,10833918460237,Amarisé Dress,1.55,New,no,1123,20
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,irina-dress,10834091508045,Irina Dress,1.46,New,no,1283,21
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,belisse-cape,10831625519437,Belisse  Cape,1.45,New,no,1029,22
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,ameline-top-1,10831704588621,Ameline Top,1.42,New,no,842,23
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,mireya-dress,10833908760909,Mireya Dress,1.39,New,no,1178,24
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,pink-underdress-long,10078634836301,Pink Underdress Long,1.32,Average,no,1630,25
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,tamara-jumsuit,10834724651341,Tamara Jumsuit,1.32,New,no,1146,26
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,reina-dress-1,10834071912781,Reina Dress,1.25,New,no,1046,27
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,maristelle-dress,10833922490701,Maristelle Dress,1.25,New,no,1100,28
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,pink-underdress,8936687141197,Pink Underdress,1.25,Average,no,855,29
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,ameline-kimono,10833834901837,Ameline  Kimono,1.25,New,no,802,30
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,ciela-dress,10833959190861,Ciela Dress,1.24,New,no,1061,31
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,verona-dress,10834089836877,Verona Dress,1.23,New,no,1030,32
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,elettra-dress,10834705842509,Elettra Dress,1.23,New,no,808,33
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,noir-dress,10906129269069,Noir Dress,1.21,New,no,24,34
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,ismerie-dress,10833894801741,Ismerie Dress,1.18,New,no,1039,35
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,eira-limited-1,10833965449549,Eira LIMITED,1.18,New,no,1009,36
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,bianca-jumsuit,10834721472845,Bianca Jumsuit,1.17,New,no,955,37
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,faline-dress,10833966629197,Faline Dress,1.14,New,no,997,38
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,petra-dress,10834711085389,Petra Dress,1.13,New,no,464,39
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,amorette-dress,10833895883085,Amorette Dress,1.12,New,no,917,40
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,seraphina-pants,10831770747213,Seraphina Pants,1.12,New,no,36,41
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,seraphina-blazer,10833848992077,Seraphina Blazer,1.03,New,no,48,42
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,jessamine-pants,10831736045901,Jessamine Pants,1.02,New,no,50,43
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,calista-skirt,10831800795469,Calista Skirt,1.02,New,no,831,44
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,virelia-dress,10847552897357,Virelia Dress,1.01,New,no,849,45
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,odessa-dress,10834099208525,Odessa Dress,1.00,New,no,806,46
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,eira-dress-1,10833964007757,Eira Dress,0.99,New,no,539,47
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,eira-cape-1,10831635022157,Eira  Cape,0.99,New,no,563,48
